method,status,num_images,QABF,LABF,NABF,NABF1,QABF_raw,LABF_raw,NABF_raw,QABF_std,LABF_std,NABF_std,NABF1_std,QABF_raw_std,LABF_raw_std,NABF_raw_std,MEF_SSIM,LGIR,MS_VIF,MEF_SSIM_std,LGIR_std,MS_VIF_std
avg,SUCCESS,197,0.38064694,0.22965471,0.38969833,0.5387927,0.6225369,0.37746313,0.6440697,0.065333135,0.05319524,0.015824264,0.071085505,0.09579392,0.09579392,0.039911516,0.23621066,0.7173232,5.2944527,0.049960833,0.034716666,1.7533143
max,SUCCESS,197,0.34549096,0.26156926,0.39293978,0.6217898,0.56377643,0.4362236,0.6605404,0.031568993,0.021621661,0.018975765,0.052531794,0.041242376,0.041242376,0.0458251,0.1663311,0.7283993,5.276444,0.044338416,0.028799763,1.924232
min,SUCCESS,197,0.34780395,0.25417098,0.39802504,0.61506313,0.57210326,0.42789677,0.67109317,0.08402349,0.06997743,0.021144563,0.0896635,0.13290514,0.13290514,0.057653252,0.026029475,0.43752143,1.7715067,0.01512862,0.17981711,0.58126324
wavg,SUCCESS,197,0.3827023,0.22823186,0.38906586,0.53695446,0.6253789,0.3746211,0.6422707,0.06630013,0.053999417,0.016076585,0.07165038,0.0971304,0.0971304,0.040498465,0.23624966,0.7163119,5.2888303,0.049861148,0.036311977,1.7449397
pca,SUCCESS,197,0.43361312,0.17953102,0.38685584,0.52124393,0.70318663,0.2968133,0.6399728,0.08915921,0.06916495,0.029931653,0.10043421,0.12737957,0.12737957,0.07848198,0.118666925,0.7674926,5.651672,0.072719656,0.047167744,1.7845719
laplacian,SUCCESS,197,0.5008894,0.099509686,0.3996009,0.58428824,0.83535475,0.16464537,0.6686703,0.0064245495,0.012778863,0.0113235,0.049177445,0.01851245,0.018512456,0.030504383,0.14160356,0.93500847,7.31711,0.03343486,0.008740988,2.06262
4scale,SUCCESS,197,0.45613715,0.15758659,0.38627633,0.563604,0.7444587,0.25554135,0.63470536,0.020763494,0.022023419,0.013356655,0.05189504,0.035096616,0.03509662,0.032839037,0.1920643,0.84212697,6.227034,0.04013115,0.020820426,1.9148393
anisotropic,SUCCESS,197,0.46631438,0.17010933,0.36357635,0.49376604,0.73310333,0.26689664,0.57945985,0.03797422,0.03366278,0.020469835,0.07041652,0.05431701,0.054317012,0.047236316,0.20720962,0.8077036,5.98091,0.059338048,0.045268267,2.2225337
fpde,SUCCESS,197,0.43650338,0.19183116,0.37166554,0.5037155,0.6943189,0.30568105,0.5992985,0.048673563,0.03939311,0.01856511,0.07024744,0.06854867,0.06854867,0.043383047,0.21922964,0.78036964,5.6949973,0.048942655,0.023499927,1.961859
mgf,SUCCESS,197,0.51894265,0.098365664,0.38269168,0.53360224,0.8420613,0.15793875,0.62392855,0.009728322,0.013656959,0.011460379,0.058860146,0.020027531,0.020027535,0.028558021,0.17066619,0.9084364,6.797131,0.04047759,0.011569756,2.1292963
wavelet,SUCCESS,197,0.50160027,0.1008894,0.39751035,0.58069223,0.8338594,0.16614068,0.6630022,0.0067165666,0.013461547,0.011675023,0.051106066,0.019303704,0.019303707,0.031181855,0.1417511,0.92253035,7.2869124,0.035811584,0.008049355,2.0639637
adaptive,SUCCESS,197,0.51670104,0.10274049,0.38055855,0.5345738,0.83617,0.16383006,0.6195621,0.01367289,0.016223697,0.017195875,0.06666341,0.023183916,0.023183921,0.04267498,0.13454112,0.8877586,7.0201864,0.034821507,0.018877272,2.077155
clahe_pre,SUCCESS,197,0.41500244,0.19662514,0.38837242,0.531343,0.67777187,0.3222281,0.6398587,0.056547575,0.05042415,0.011808332,0.05837395,0.08685958,0.08685958,0.030184587,0.20992841,0.80195427,5.7911873,0.040221047,0.041107178,1.6988184
clahe_post,SUCCESS,197,0.49523786,0.11639323,0.38836893,0.5498077,0.81045836,0.18954168,0.6388063,0.015169281,0.017816434,0.013917889,0.047212176,0.027974658,0.027974663,0.037083603,0.1552018,0.9139164,6.973477,0.034879502,0.011495752,1.9152918
custom_wavg_1,SUCCESS,197,0.4090117,0.21162613,0.37936223,0.5128088,0.65890443,0.3410956,0.6167864,0.06717932,0.054677423,0.018238148,0.072713695,0.096459866,0.09645986,0.044478476,0.23167993,0.728392,5.3784847,0.0498643,0.03561843,1.7774564
custom_wavg_2_0.5S_0.4R_0.1N,SUCCESS,197,0.4814908,0.16256216,0.35594708,0.47741824,0.7498169,0.25018308,0.5597785,0.04900486,0.040766507,0.024185471,0.07091445,0.066638485,0.066638485,0.053498875,0.20687938,0.776187,5.723567,0.04706976,0.03656553,1.8903153
custom_wavg_3_0.8S_0.1R_0.1N,SUCCESS,197,0.43807393,0.19373335,0.36819267,0.52325404,0.68804884,0.31195116,0.5975923,0.04066014,0.036706503,0.024733854,0.07867707,0.059438523,0.059438534,0.0572903,0.18085738,0.8235649,6.138181,0.05275124,0.049927596,2.2337673
custom_wavg_3_pre_clahe,SUCCESS,197,0.45487425,0.17635357,0.3687722,0.5131931,0.71625006,0.2837499,0.5965153,0.04373845,0.03796024,0.0254619,0.08214794,0.06391963,0.06391963,0.060250413,0.17041138,0.86012495,6.456529,0.043829616,0.034580257,2.118056
custom_wavg_3_post_clahe,SUCCESS,197,0.45265937,0.15884626,0.38849434,0.5671116,0.7391483,0.26085168,0.6413451,0.032217126,0.029307025,0.020459626,0.06481773,0.04875722,0.04875723,0.052018788,0.10825557,0.88853526,7.534819,0.025204806,0.025948923,2.106028
custom_wavg_4_0.8N,SUCCESS,197,0.24501431,0.3467931,0.4081926,0.70608693,0.39907613,0.6009239,0.7100404,0.04704106,0.027832557,0.021966893,0.060424544,0.061510604,0.061510604,0.056945514,0.2088151,0.6728627,4.886592,0.04077988,0.052543692,1.6301091
custom_wavg_5_0.8R,SUCCESS,197,0.41790232,0.1951047,0.38699302,0.57250375,0.6732556,0.32674426,0.64450276,0.097610965,0.07887499,0.029274924,0.10643243,0.14802267,0.14802267,0.07412501,0.13312002,0.5765595,4.3013525,0.02723207,0.14662464,0.9475482
signal,SUCCESS,197,0.43182364,0.19853307,0.36964324,0.5413547,0.679266,0.320734,0.6029325,0.043111064,0.0374574,0.02930172,0.084771164,0.060977157,0.060977153,0.06687983,0.15286373,0.8377364,6.413361,0.050851993,0.056074966,2.367956
reflec,SUCCESS,197,0.39505965,0.20445381,0.4004866,0.6138427,0.6506419,0.34935802,0.67977595,0.09779435,0.08002868,0.028264081,0.103751116,0.15236574,0.15236571,0.07387217,0.02806497,0.4706122,2.0790596,0.014961853,0.19839396,0.7030938
nearir,SUCCESS,197,0.25913286,0.36150563,0.37936154,0.70210654,0.39709386,0.6029061,0.64453155,0.05914475,0.031678878,0.032916974,0.06177685,0.07043948,0.07043948,0.0742441,0.17697267,0.6834668,4.8464704,0.03624838,0.06047131,1.6303905
combination_4,SUCCESS,197,0.3620054,0.25483087,0.3831638,0.61910135,0.57566726,0.4243327,0.6424133,0.054951005,0.03263366,0.029745687,0.080977604,0.070521824,0.070521824,0.070605926,0.119300455,0.6639385,4.446297,0.029542487,0.06338074,1.1118442
